loan_id	report_id	state	finance_org	type_dw	currency	guarantee_type	payment_rating	payment_cyc	class5_state	payment_state	credit_limit_amount	balance	remain_payment_cyc	scheduled_payment_amount	actual_payment_amount	curr_overdue_cyc	curr_overdue_amount	recent_pay_date	scheduled_payment_date	open_date	end_date
93540	25708	正常	XL	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	////////////////////*N*N	1000	1000	9	1030	1030	0	0	2016-08-11	2016-08-12	2016-05-07	2017-05-07
93539	25708	结清	FZ	个人消费贷款	人民币	信用/免担保	按月归还	3	NULL	NULL	3300	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2016-06-14	NULL
795426	170491	正常	ORG-WM	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	///////////////////////*	5000	5000	12	0	0	0	0	2016-12-12	2016-12-12	2016-12-12	2017-12-12
817296	174368	正常	OF	个人消费贷款	人民币	信用/免担保	按月归还	6	正常	/////////////////////*NN	1000	675	4	178	178	0	0	2016-12-03	2016-12-03	2016-10-11	2017-04-03
817298	174368	正常	GB	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	//////////////////////*N	1200	1100	11	105	105	0	0	2016-12-05	2016-12-05	2016-11-17	2017-11-05
817299	174368	结清	MK	个人消费贷款	人民币	信用/免担保	按月归还	8	NULL	NULL	2988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-09-12	NULL
817295	174368	正常	GB	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	///////////////////*NNNN	5000	3333	8	449	449	0	0	2016-12-05	2016-12-05	2016-08-05	2017-08-05
817294	174368	正常	OF	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	///////////////////*NNNN	8100	5608	8	761	761	0	0	2016-12-03	2016-12-03	2016-08-03	2017-08-03
817293	174368	正常	CX	个人消费贷款	人民币	信用/免担保	按月归还	5	正常	////////////////////*NNN	2000	2000	2	2052	2052	0	0	2016-11-10	2016-11-14	2016-08-02	2016-12-31
817291	174368	正常	MK	个人消费贷款	人民币	信用/免担保	按月归还	24	正常	/////////////*NNNNNNNNNN	8696	5336	14	463	463	0	0	2016-10-23	2016-10-23	2015-12-26	2017-12-04
817292	174368	正常	CV	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	/////////////////*NNNNNN	30000	15000	6	2500	2500	0	0	2016-12-01	2016-12-01	2016-06-01	2017-06-01
817297	174368	正常	OF	个人消费贷款	人民币	信用/免担保	按月归还	6	正常	/////////////////////**N	1000	843	5	188	188	0	0	2016-12-03	2016-12-03	2016-10-31	2017-05-03
798930	171359	结清	OF	个人消费贷款	人民币	信用/免担保	按月归还	3	NULL	NULL	4000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-08-20	NULL
798937	171359	结清	OF	个人消费贷款	人民币	信用/免担保	按月归还	12	NULL	NULL	4000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2016-03-01	NULL
798936	171359	正常	TK	个人消费贷款	人民币	组合（不含保证）担保	按月归还	60	正常	///////////**NNNNNNNNNNN	8000	0	49	156	7402	0	0	2016-11-08	2016-11-04	2015-11-24	2020-11-24
798935	171359	结清	OF	个人消费贷款	人民币	信用/免担保	按月归还	12	NULL	NULL	4000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-11-23	NULL
798934	171359	结清	JG	个人经营性贷款	人民币	信用/免担保	按月归还	12	NULL	NULL	10000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2016-06-13	NULL
798921	171359	结清	OF	个人消费贷款	人民币	信用/免担保	按月归还	12	NULL	NULL	4000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-12-23	NULL
798922	171359	正常	AN	个人消费贷款	人民币	信用/免担保	按月归还	12	正常	////////////////////*NNN	4665	3538	9	408	0	0	0	2016-12-15	2016-12-20	2016-09-20	2017-09-20
798923	171359	结清	OF	个人消费贷款	人民币	信用/免担保	按月归还	12	NULL	NULL	4000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-11-12	NULL
798924	171359	结清	ET	个人经营性贷款	人民币	组合（不含保证）担保	按月归还	36	NULL	NULL	57000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2015-06-15	NULL
